id_cliente,nombre_completo,fecha_nacimiento,limite_credito,deuda_actual,estado_riesgo
1,Cliente_1,1968-03-31,2000711.44,243153.46, al dia 
2,Cliente_2,1987-11-04,2646676.01,133459.37,CASTIGADO
3,  cliente_3  ,1957-05-19,1897856.54,24034.1,AL DIA
4,Cliente_4,1962-10-21,1826514.76,443776.86,MOROSO
5,Cliente_5,1963-06-09,318146.52,244541.57, al dia 
6,Cliente_6,2003-06-05,2316274.83,548026.14,MOROSO 
7,Cliente_7,1999-06-08,1094107.04,708500.36,AL DIA
8,Cliente_8,2007-02-16,1458274.96,379957.46,AL DIA
9,Cliente_9,1994-09-15,1891053.16,1684720.31,MOROSO 
10,Cliente_10,2003-06-19,489089.57,235429.89,MOROSO 
11,Cliente_11,1995-10-24,2657685.88,1208013.57,MOROSO 
12,  cliente_12  ,2001-10-26,958050.59,118171.72,AL DIA
13,Cliente_13,2007-09-19,1804320.74,684607.85, al dia 
14,Cliente_14,1971-04-09,2595259.25,2358868.68,MOROSO
15,  cliente_15  ,2002-07-21,468987.65,342089.98,AL DIA
16,Cliente_16,1966-05-16,1564764.13,651244.95,AL DIA
17,Cliente_17,1969-02-09,806224.59,340055.49,MOROSO
18,Cliente_18,1973-08-27,2452706.21,1733698.69,MOROSO
19,  cliente_19  ,1983-08-04,1216302.06,703342.8, al dia 
20,Cliente_20,1969-06-26,1934882.16,1031525.58,MOROSO 
21,Cliente_21,2003-07-20,2958733.81,2390435.44,CASTIGADO
22,Cliente_22,1971-04-08,2993272.11,2372866.04,MOROSO
23,Cliente_23,1968-10-15,1434563.63,1344522.51,MOROSO
24,Cliente_24,2004-04-03,2146294.33,587672.82,MOROSO
25,Cliente_25,1960-11-24,,284050.66,MOROSO 
26,  cliente_26  ,1961-09-13,553332.43,112319.87,AL DIA
27,Cliente_27,1986-10-09,2969427.47,1534895.71,AL DIA
28,Cliente_28,1975-12-19,1683571.29,1221051.92,MOROSO 
29,Cliente_29,2003-09-03,2427214.84,954737.29,CASTIGADO
30,Cliente_30,1994-05-31,1365376.98,35556.52,CASTIGADO
31,Cliente_31,1957-08-13,563963.42,372229.63,MOROSO
32,Cliente_32,1959-04-29,936551.15,420045.23, al dia 
33,Cliente_33,1967-11-26,311675.11,137407.07,MOROSO 
34,Cliente_34,2004-04-22,1062983.15,255742.58,MOROSO
